FundamentalTime,FundamentalValue
2019-06-28 11:56:34.487913708,101379.0
2019-06-28 11:57:10.555850729,100898.0
2019-06-28 11:57:20.360358619,101014.0
2019-06-28 11:57:27.512462183,101042.0
2019-06-28 11:57:50.811864729,101485.0
2019-06-28 11:57:50.886403294,101484.0
2019-06-28 11:57:56.080755769,101389.0
2019-06-28 11:57:57.777272631,101394.0
2019-06-28 11:58:04.797279144,101441.0
2019-06-28 11:58:50.444034161,101517.0
2019-06-28 11:58:54.310911174,101568.0
2019-06-28 11:59:00.755633176,101572.0
2019-06-28 11:59:04.510835425,101594.0
2019-06-28 11:59:18.903220838,101294.0
2019-06-28 11:59:21.559265663,101276.0
2019-06-28 11:59:34.611734096,101358.0
2019-06-28 11:59:36.925091244,101364.0
2019-06-28 11:59:47.641106800,101193.0
2019-06-28 12:00:04.217454673,101332.0
2019-06-28 12:00:08.145748331,101286.0
2019-06-28 12:00:20.173994547,101411.0
2019-06-28 12:00:20.877870396,101416.0
2019-06-28 12:00:44.442160357,101602.0
2019-06-28 12:02:04.313495914,101612.0
2019-06-28 12:03:04.947096617,100784.0
2019-06-28 12:03:08.025979644,100822.0
2019-06-28 12:03:19.612287481,100814.0
2019-06-28 12:03:20.379665100,100810.0
2019-06-28 12:03:46.013754090,100794.0
2019-06-28 12:04:05.274066123,100740.0
2019-06-28 12:04:24.605258251,100509.0
2019-06-28 12:04:37.260447362,100611.0
2019-06-28 12:04:44.537632351,100530.0
2019-06-28 12:04:49.906264790,100604.0
2019-06-28 12:05:08.922602369,100769.0
2019-06-28 12:05:33.345207661,100739.0
2019-06-28 12:06:03.903626700,100506.0
2019-06-28 12:06:48.973756759,100449.0
2019-06-28 12:07:56.326212301,99991.0
2019-06-28 12:08:09.262843036,99950.0
2019-06-28 12:08:11.838920253,99943.0
2019-06-28 12:08:28.121081316,99953.0
2019-06-28 12:08:51.483933609,99809.0
2019-06-28 12:09:34.337293864,100561.0
2019-06-28 12:10:09.781147068,100175.0
2019-06-28 12:10:15.995343037,100250.0
2019-06-28 12:10:30.327066243,100276.0
2019-06-28 12:10:32.080089221,100252.0
2019-06-28 12:10:41.146890975,100141.0
2019-06-28 12:10:56.429712950,100213.0
2019-06-28 12:10:57.899576729,100207.0
2019-06-28 12:11:03.727411824,100141.0
2019-06-28 12:11:07.399030120,100202.0
2019-06-28 12:11:17.501022577,100225.0
2019-06-28 12:12:50.511452642,101387.0
2019-06-28 12:12:51.944368448,101401.0
2019-06-28 12:13:52.848701048,101222.0
2019-06-28 12:13:57.202805901,101168.0
2019-06-28 12:14:02.817883613,101199.0
2019-06-28 12:14:05.078021851,101203.0
2019-06-28 12:14:25.439451616,101234.0
2019-06-28 12:14:35.834173375,101165.0
2019-06-28 12:14:55.327303997,101448.0
2019-06-28 12:15:03.409518353,101515.0
2019-06-28 12:15:24.933496008,101596.0
2019-06-28 12:16:05.188097020,101745.0
2019-06-28 12:16:25.934771569,101856.0
2019-06-28 12:16:34.504625628,101902.0
2019-06-28 12:16:40.604639170,101933.0
2019-06-28 12:16:43.777209196,102008.0
2019-06-28 12:16:58.082592368,102032.0
2019-06-28 12:16:59.272612560,102021.0
2019-06-28 12:17:03.027048980,102012.0
2019-06-28 12:17:06.887466792,101997.0
2019-06-28 12:17:12.933845192,101959.0
2019-06-28 12:17:15.953538406,101936.0
2019-06-28 12:17:40.005384374,102177.0
2019-06-28 12:18:14.692968326,101481.0
2019-06-28 12:18:16.399605735,101474.0
2019-06-28 12:18:26.693596961,101468.0
2019-06-28 12:18:47.420062778,101464.0
2019-06-28 12:18:53.541363322,101430.0
2019-06-28 12:19:11.647695997,101619.0
2019-06-28 12:19:15.764673757,101580.0
2019-06-28 12:19:19.095372532,101648.0
2019-06-28 12:19:35.132652621,101721.0
2019-06-28 12:19:41.496838172,101736.0
2019-06-28 12:19:50.990352027,101761.0
2019-06-28 12:20:32.305169994,101777.0
2019-06-28 12:20:40.928525199,101904.0
2019-06-28 12:20:53.005989021,101826.0
2019-06-28 12:21:05.652646354,101619.0
2019-06-28 12:21:20.742274681,102551.0
2019-06-28 12:21:28.038463607,102572.0
2019-06-28 12:21:34.461185274,102518.0
2019-06-28 12:21:54.780078315,102441.0
2019-06-28 12:21:57.428839716,102415.0
2019-06-28 12:22:10.989562960,102338.0
2019-06-28 12:22:12.939197099,102341.0
2019-06-28 12:22:19.862088556,102350.0
2019-06-28 12:22:23.067816399,102344.0
2019-06-28 12:22:27.244354246,102269.0
2019-06-28 12:22:34.600345444,102315.0
2019-06-28 12:22:40.478559867,102232.0
2019-06-28 12:22:47.235400198,102151.0
2019-06-28 12:23:00.177393632,102259.0
2019-06-28 12:23:32.992776531,102292.0
2019-06-28 12:23:35.384355802,102244.0
2019-06-28 12:23:42.453292939,102170.0
2019-06-28 12:23:59.570800354,101842.0
2019-06-28 12:24:04.781358306,101765.0
2019-06-28 12:24:22.113813208,101782.0
2019-06-28 12:24:39.359333788,101738.0
2019-06-28 12:24:56.442182161,101908.0
2019-06-28 12:24:57.987359160,101901.0
2019-06-28 12:25:01.487015344,101966.0
2019-06-28 12:25:02.039039893,101966.0
2019-06-28 12:25:11.128184879,102100.0
2019-06-28 12:25:15.634856916,102003.0
2019-06-28 12:25:31.414073567,102006.0
2019-06-28 12:25:39.170712882,102075.0
2019-06-28 12:25:45.424712321,102060.0
2019-06-28 12:26:13.009780628,101862.0
2019-06-28 12:26:51.033844820,101839.0
2019-06-28 12:28:08.117304791,101054.0
2019-06-28 12:28:19.543657731,100878.0
2019-06-28 12:28:25.652519891,100801.0
2019-06-28 12:28:27.989858906,100789.0
2019-06-28 12:28:38.207325108,100679.0
2019-06-28 12:29:04.976061202,100799.0
2019-06-28 12:29:28.531726553,100946.0
2019-06-28 12:29:34.856945083,100965.0
2019-06-28 12:29:39.763063052,101016.0
2019-06-28 12:29:44.358957709,101047.0
2019-06-28 12:29:52.099408656,101173.0
2019-06-28 12:30:15.908215485,101147.0
2019-06-28 12:30:29.107067065,100291.0
2019-06-28 12:30:54.030602497,100117.0
2019-06-28 12:30:56.901204464,100101.0
2019-06-28 12:31:05.672182511,100093.0
2019-06-28 12:31:23.809514535,100154.0
2019-06-28 12:31:29.948476970,100262.0
2019-06-28 12:32:10.417497431,100296.0
2019-06-28 12:32:15.373474775,100236.0
2019-06-28 12:32:16.274851922,100235.0
2019-06-28 12:32:19.052605815,100222.0
2019-06-28 12:32:56.809904571,100376.0
2019-06-28 12:33:06.579631472,100264.0
2019-06-28 12:33:09.281403577,100250.0
2019-06-28 12:33:27.033955018,99990.0
2019-06-28 12:33:32.888214756,99968.0
2019-06-28 12:34:02.827428815,100505.0
2019-06-28 12:34:20.454830968,100317.0
2019-06-28 12:34:28.549430207,100434.0
2019-06-28 12:34:37.969658030,100423.0
2019-06-28 12:34:47.581539402,100360.0
2019-06-28 12:34:58.518568374,100145.0
2019-06-28 12:34:58.991900805,100148.0
2019-06-28 12:35:04.087516388,100089.0
2019-06-28 12:35:09.404706127,100087.0
2019-06-28 12:35:13.493118398,100075.0
2019-06-28 12:35:30.310267892,100044.0
2019-06-28 12:35:37.499006665,100021.0
2019-06-28 12:36:29.047555810,100670.0
2019-06-28 12:36:30.778491297,100660.0
2019-06-28 12:36:54.432730669,100533.0
2019-06-28 12:37:00.055975723,100651.0
2019-06-28 12:37:01.888620971,100609.0
2019-06-28 12:37:20.203929504,100520.0
2019-06-28 12:37:21.809489267,100542.0
2019-06-28 12:37:45.512948262,100440.0
2019-06-28 12:38:20.061913335,99944.0
2019-06-28 12:39:01.139633829,100116.0
2019-06-28 12:39:01.918269647,100117.0
2019-06-28 12:39:07.587430709,100075.0
2019-06-28 12:39:26.432138037,100075.0
