,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 14:21:40.000000000,100984,599,100879,699,101052,100,100873,100,101148,100,100846,100,101408,100,100840,100,101411,100,100807,100,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100500,100
2019-06-28 14:21:50.000000000,100984,270,100879,370,101052,265,100873,265,101148,265,100846,265,101408,100,100840,100,101411,100,100807,100,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100500,100
2019-06-28 14:22:00.000000000,100984,200,100879,161,101052,200,100873,200,101148,200,100846,200,101408,200,100840,200,101411,200,100807,200,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100500,100
2019-06-28 14:22:10.000000000,100984,599,100879,560,101052,100,100873,100,101148,100,100846,100,101408,100,100840,100,101411,100,100807,100,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100500,100
2019-06-28 14:22:13.929571193,100984,499,100879,560,101052,100,100873,100,101148,100,100846,100,101408,100,100840,100,101411,100,100807,100,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100429,100
2019-06-28 14:22:20.000000000,101052,270,100879,231,101148,265,100873,265,101408,265,100846,265,101411,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:22:30.000000000,101052,350,100879,311,101148,350,100873,350,101408,100,100846,100,101411,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:22:37.038242886,101052,350,100879,311,101148,350,100873,350,101408,100,100846,100,101411,100,100840,100,101429,100,100807,100,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100429,100
2019-06-28 14:22:40.000000000,101052,200,100879,161,101148,200,100873,200,101408,200,100846,200,101411,200,100840,200,101429,200,100807,200,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100429,100
2019-06-28 14:22:40.061328536,101052,100,100879,161,101148,200,100873,200,101408,200,100846,200,101411,200,100840,200,101429,200,100807,200,101477,100,100732,100,101505,100,100719,100,101586,100,100630,100,101607,100,100587,100,,,100429,100
2019-06-28 14:22:50.000000000,101148,270,100879,231,101408,265,100873,265,101411,265,100846,265,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:23:00.000000000,101148,599,100879,421,101408,100,100873,100,101411,100,100846,100,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:23:04.481249804,101148,599,100879,521,101408,100,100873,100,101411,100,100846,100,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:23:10.000000000,101148,350,100879,350,101408,350,100873,350,101411,100,100846,100,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:23:20.000000000,101148,599,100879,599,101408,100,100873,100,101411,100,100846,100,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:23:30.000000000,101148,270,100879,270,101408,265,100873,265,101411,265,100846,265,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100719,100,101607,100,100630,100,,,100587,100,,,100429,100
2019-06-28 14:23:33.398029856,101148,270,100879,270,101408,265,100873,265,101411,265,100846,265,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100630,100,101604,100,100587,100,101607,100,100429,100,,,,
2019-06-28 14:23:40.000000000,101148,599,100879,599,101408,100,100873,100,101411,100,100846,100,101429,100,100840,100,101477,100,100807,100,101505,100,100732,100,101586,100,100630,100,101604,100,100587,100,101607,100,100429,100,,,,
2019-06-28 14:23:50.000000000,101148,200,100879,200,101408,200,100873,200,101411,200,100846,200,101429,200,100840,200,101477,200,100807,200,101505,100,100732,100,101586,100,100630,100,101604,100,100587,100,101607,100,100429,100,,,,
2019-06-28 14:23:56.618957143,101148,200,100879,200,101408,100,100873,200,101411,200,100846,200,101429,200,100840,200,101477,200,100807,200,101505,100,100732,100,101586,100,100630,100,101604,100,100587,100,101607,100,100429,100,101678,100,,
2019-06-28 14:23:56.905117141,101148,100,100879,200,101408,100,100873,200,101411,200,100846,200,101429,200,100840,200,101477,200,100807,200,101505,100,100732,100,101586,100,100630,100,101604,100,100587,100,101607,100,100429,100,101678,100,,
2019-06-28 14:24:00.000000000,101411,270,100879,131,101429,265,100873,265,101477,265,100846,265,101505,100,100840,100,101586,100,100807,100,101604,100,100732,100,101607,100,100630,100,101678,100,100587,100,,,100429,100,,,,
2019-06-28 14:24:03.478685005,101411,270,100879,131,101429,265,100873,265,101477,265,100846,265,101505,100,100840,100,101586,100,100807,100,101604,100,100732,100,101607,100,100630,100,101678,100,100587,100,101760,100,100429,100,,,,
2019-06-28 14:24:10.000000000,101411,270,100873,270,101429,265,100846,265,101477,265,100840,265,101505,100,100807,100,101586,100,100732,100,101604,100,100630,100,101607,100,100587,100,101678,100,100429,100,101760,100,,,,,,
2019-06-28 14:24:10.108595280,101411,170,100873,270,101429,265,100846,265,101477,265,100840,265,101505,100,100807,100,101586,100,100732,100,101604,100,100630,100,101607,100,100429,100,101678,100,,,101760,100,,,,,,
2019-06-28 14:24:20.000000000,101429,200,100873,200,101477,200,100846,200,101505,200,100840,200,101586,200,100807,200,101604,200,100732,200,101607,100,100630,100,101678,100,100429,100,101760,100,,,,,,,,,,
2019-06-28 14:24:23.814084398,101429,200,100879,100,101477,200,100873,200,101505,200,100846,200,101586,200,100840,200,101604,200,100807,200,101607,100,100732,200,101678,100,100630,100,101760,100,100429,100,,,,,,,,
2019-06-28 14:24:24.425218385,101429,100,100879,100,101477,200,100873,200,101505,200,100846,200,101586,200,100840,200,101604,200,100807,200,101607,100,100732,200,101678,100,100630,100,101760,100,,,,,,,,,,
2019-06-28 14:24:30.000000000,101477,350,100879,350,101505,350,100873,350,101586,100,100846,100,101604,100,100840,100,101607,100,100807,100,101678,100,100732,100,101760,100,100630,100,,,,,,,,,,,,
2019-06-28 14:24:40.000000000,101477,350,100879,350,101505,350,100873,350,101586,100,100846,100,101604,100,100840,100,101607,100,100807,100,101678,100,100732,100,101760,100,100630,100,,,,,,,,,,,,
2019-06-28 14:24:50.000000000,101477,200,100879,200,101505,200,100873,200,101586,200,100846,200,101604,200,100840,200,101607,200,100807,200,101678,100,100732,100,101760,100,100630,100,,,,,,,,,,,,
2019-06-28 14:24:52.184438035,101477,200,101261,100,101505,200,100879,200,101586,200,100873,200,101604,200,100846,200,101607,200,100840,200,101678,100,100807,200,101760,100,100732,100,,,100630,100,,,,,,,,
2019-06-28 14:24:56.286723053,101477,200,101424,100,101505,200,101261,100,101586,200,100879,200,101604,200,100873,200,101607,200,100846,200,101678,100,100840,200,101760,100,100807,200,,,100732,100,,,100630,100,,,,
2019-06-28 14:25:00.000000000,101477,270,101424,131,101505,265,101261,265,101586,265,100879,265,101604,100,100873,100,101607,100,100846,100,101678,100,100840,100,101760,100,100807,100,,,100732,100,,,100630,100,,,,
2019-06-28 14:25:06.272027425,101477,270,101424,131,101505,265,101261,265,101586,265,100879,265,101590,100,100873,100,101604,100,100846,100,101607,100,100840,100,101678,100,100807,100,101760,100,100732,100,,,100630,100,,,,
