,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 14:00:30.000000000,100406,202,99657,202,100461,202,99111,202,100734,202,99110,202,100764,202,98659,202,100821,100,98603,100,101107,100,98425,100,101130,100,,,101271,100,,,,,,,,,,
2019-06-28 14:00:40.000000000,100406,202,99657,202,100461,202,99111,202,100734,202,99110,202,100764,202,98659,202,100821,100,98603,100,101107,100,98425,100,101130,100,,,101271,100,,,,,,,,,,
2019-06-28 14:00:45.479291822,100215,100,99657,202,100406,202,99111,202,100461,102,99110,202,100734,202,98659,202,100764,202,98603,100,100821,100,98425,100,101107,100,,,101130,100,,,101271,100,,,,,,
2019-06-28 14:00:46.847173999,100215,100,100128,100,100406,202,99657,202,100461,102,99111,202,100734,202,99110,202,100764,102,98659,202,100821,100,98603,100,101107,100,98425,100,101130,100,,,101271,100,,,,,,
2019-06-28 14:00:50.000000000,100215,181,100128,181,100406,181,99657,181,100734,181,99111,181,100821,181,99110,181,101107,181,98659,181,101130,100,98603,100,101271,100,98425,100,,,,,,,,,,,,
2019-06-28 14:00:50.996680771,100215,181,100128,181,100406,181,99657,181,100734,181,99152,100,100821,181,99111,181,101107,181,99110,181,101130,100,98659,181,101271,100,98603,100,,,98425,100,,,,,,,,
2019-06-28 14:01:00.000000000,100215,114,100128,238,100406,234,99657,234,100734,234,99152,234,100821,100,99111,100,101107,100,99110,100,101130,100,98659,100,101271,100,98603,100,,,98425,100,,,,,,,,
2019-06-28 14:01:03.292060116,100215,114,100128,238,100406,234,100041,100,100734,234,99657,234,100821,100,99152,234,101107,100,99111,100,101130,100,99110,100,101271,100,98659,100,,,98603,100,,,98425,100,,,,
2019-06-28 14:01:04.277678168,100168,100,100128,238,100215,114,100041,100,100406,234,99657,234,100734,234,99152,234,100821,100,99111,100,101107,100,99110,100,101130,100,98659,100,101271,100,98603,100,,,98425,100,,,,
2019-06-28 14:01:05.589532034,100168,100,100128,238,100199,100,100041,100,100215,114,99657,234,100406,234,99152,234,100734,234,99111,100,100821,100,99110,100,101107,100,98659,100,101130,100,98603,100,101271,100,98425,100,,,,
2019-06-28 14:01:10.000000000,100168,304,100128,304,100199,304,100041,304,100406,100,99657,100,100734,100,99152,100,100821,100,99111,100,101107,100,99110,100,101130,100,98659,100,101271,100,98603,100,,,98425,100,,,,
2019-06-28 14:01:13.898701768,100168,304,100128,304,100199,304,100041,304,100406,100,99995,100,100734,100,99657,100,100821,100,99152,100,101107,100,99111,100,101130,100,99110,100,101271,100,98659,100,,,98603,100,,,98425,100
2019-06-28 14:01:20.000000000,100168,181,100128,181,100199,181,100041,181,100406,181,99995,181,100734,181,99657,181,100821,181,99152,181,101107,100,99111,100,101130,100,99110,100,101271,100,98659,100,,,98603,100,,,98425,100
2019-06-28 14:01:23.045816485,100168,81,100128,181,100199,181,100041,181,100406,181,99995,181,100734,181,99657,181,100821,81,99152,181,101107,100,99111,100,101130,100,99110,100,101271,100,98659,100,,,98603,100,,,98425,100
2019-06-28 14:01:25.910965236,100199,181,100168,19,100406,181,100128,181,100734,181,100041,181,100821,81,99995,181,101107,100,99657,181,101130,100,99152,181,101271,100,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:01:30.000000000,100199,507,100168,426,100406,100,100128,100,100734,100,100041,100,101107,100,99995,100,101130,100,99657,100,101271,100,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:01:39.927181377,100199,507,100168,426,100406,100,100128,100,100451,100,100041,100,100734,100,99995,100,101107,100,99657,100,101130,100,99152,100,101271,100,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:01:40.000000000,100199,238,100168,157,100406,234,100128,234,100451,234,100041,234,100734,100,99995,100,101107,100,99657,100,101130,100,99152,100,101271,100,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:01:50.000000000,100199,238,100168,157,100406,234,100128,234,100451,234,100041,234,100734,100,99995,100,101107,100,99657,100,101130,100,99152,100,101271,100,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:01:53.401943102,100199,138,100168,157,100406,234,100128,234,100451,234,100041,234,100734,100,99995,100,101107,100,99657,100,101130,100,99152,100,101271,100,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:01:54.929554717,100199,38,100168,157,100406,234,100128,234,100451,234,100041,234,100734,100,99995,100,101107,100,99657,100,101130,100,99152,100,101271,100,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:02:00.000000000,100406,184,100168,223,100451,304,100128,304,100734,100,100041,100,101107,100,99995,100,101130,100,99657,100,101271,100,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:02:10.000000000,100406,208,100168,223,100451,304,100128,304,100734,100,100041,100,101107,100,99995,100,101130,100,99657,100,101271,100,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:02:11.167486530,100406,108,100168,223,100451,304,100128,204,100734,100,100041,100,101107,100,99995,100,101130,100,99657,100,101271,100,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100
2019-06-28 14:02:20.000000000,100451,181,100168,100,100734,181,100041,181,101107,181,99995,181,101130,181,99657,181,101271,181,99152,181,,,99111,100,,,99110,100,,,98659,100,,,98603,100,,,98425,100
2019-06-28 14:02:30.000000000,100451,202,100168,121,100734,202,100041,202,101107,202,99995,202,101130,202,99657,202,101271,100,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100,,,98425,100
2019-06-28 14:02:30.516204133,100451,102,100168,121,100734,202,100041,202,101107,202,99995,202,101130,202,99657,202,101271,100,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100,,,98425,100
2019-06-28 14:02:40.000000000,100734,181,100168,100,101107,181,100041,181,101130,181,99995,181,101271,181,99657,181,101272,81,99152,181,,,99111,100,,,99110,100,,,98659,100,,,98603,100,,,98425,100
2019-06-28 14:02:50.000000000,100734,507,100168,426,101107,100,100041,100,101130,100,99995,100,101271,100,99657,100,,,99152,100,,,99111,100,,,99110,100,,,98659,100,,,98603,100,,,98425,100
